,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_102,36.22164358,7.25585359,50.46350449,45.79666109,46.38146328,17.96755183,43.55899592,5.38357296,1.91703454,3.49928262,48.65777763,4.46191838,17.61748825,6.16866626,4.75680029,46.79063852,4.67233982,2.23684154,2.09218563,6.35275501,2.47287444,2.79790511,47.57094257,3.019869,43.49257386,4.54244027,3.93642916,4.18779908,52.23733616,4.23419507,3.61637462,3.66564215,4.19104181,57.25163835,7.67608638,32.82994969,46.32640424,18.01617714,3.60140384,49.52413567,50.49682646,9.95908911,50.10703152,36.47277139,23.86466657,3.14845357,2.53621571,2.69967578,8.59164639,7.40050053,3.02906656,3.02906656,3.13942681,2.62163696,5.71311422,5.79518478,51.99910397,48.87460206,55.86451554,28.09707623,50.43785058,50.33498231,24.0514986,54.87988514,8.36254197,3.09382111,9.24845628,4.25229638,53.21870613,3.71502103,9.27250082,2.54116819,9.45902321,8.68329209,51.78161089,6.26885259,5.17077307,51.30381215,51.69606269,4.3385119,44.45200383,6.16385403,56.07363633,7.31256794,1.91081356,1.75062986,2.2039583,2.08600223,2.34514772,2.22827901,6.51721979,4.10644112,13.13087768,5.22361257,3.45523054,3.5939354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_101,3.78975496,52.76699012,52.30712533,5.17898758,49.78755417,48.70359734,8.49294468,31.08664358,4.10165413,51.35438174,50.72995583,47.20724582,17.14249402,32.33465369,47.61149802,49.40701867,5.47645142,4.33291964,45.91239062,3.04418919,8.42245085,9.20254072,6.47024597,9.69464725,43.67513175,47.24202091,46.77145414,46.58086559,52.28914043,47.51335977,45.57875945,46.57663448,47.31046129,53.32351568,46.67245893,4.10209908,6.79945527,47.75776794,44.72928458,4.78345345,51.73142202,3.95964453,51.62557348,52.02365761,48.71826947,4.77250625,43.12587391,46.17333813,43.72985732,15.73873995,38.96577492,37.52845571,38.76068335,5.07106117,51.73237866,50.69004718,4.94621875,3.54521265,51.51612847,47.49588859,4.63938404,4.49058552,8.0387345,53.89400287,44.44792012,4.28170319,13.76149884,8.05290182,52.96377854,41.24569997,43.61941497,41.92578006,42.98511987,32.75531644,3.76670666,38.30967419,47.02832753,18.42284868,13.90265451,47.79957475,49.58500925,39.88951099,9.93381321,52.14918934,3.65695304,3.93298244,4.06510989,3.96733291,4.13615417,4.28426758,42.89350504,4.77312775,46.54612344,7.03440589,50.00491292,49.9477646,48.53554949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_100,3.14918691,6.67033373,44.09767978,13.28376479,5.04558177,6.50911632,2.33347515,4.97741398,46.88655933,49.75716147,46.41169777,4.46456996,48.35613301,65.59775971,42.25736894,5.34985001,44.10767099,47.9714822,7.8327923,45.5740459,4.28131019,50.41838436,3.93684202,5.16014743,1.95535516,7.08428189,3.61647502,3.91539394,5.00882776,5.95252113,5.52440337,4.85674183,6.05583698,5.35229995,5.274304,22.73829416,7.91152781,4.15614486,5.71720283,4.62181929,5.53518611,5.25750337,23.53315713,38.33385844,4.34111646,45.73535862,8.02139713,5.56892449,2.05453413,2.30147591,46.77048759,47.63796014,46.94345041,8.81547105,4.77800461,4.94756602,23.16083699,5.82277849,12.72723584,3.00074757,25.3345736,25.26417086,39.5062193,9.72712104,5.79599124,7.15578123,48.91303669,9.25540674,8.44682305,13.4432269,46.79566298,46.37467369,2.98150575,2.83045006,26.32229634,7.14958944,5.88006511,1.93047835,8.61095967,49.30065872,46.14376017,8.59930686,10.6014717,41.59904569,14.72443469,13.12538254,11.6996298,10.44785868,12.15249484,11.71230549,2.88988144,7.2169814,19.2531653,5.33657006,7.56688113,7.52492795,43.37623202,47.49018482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_99,2.93775111,56.7693119,46.95332251,6.40184441,45.79547338,13.55254314,9.50350693,42.71091853,3.43283196,50.94578577,49.07812216,40.75327873,7.00186199,46.317665,46.37758895,47.13339882,2.59762762,2.29662954,2.14080221,2.73898044,1.46191969,47.43979905,39.95373405,7.95245166,2.57766387,43.90479986,9.61629544,42.54171521,4.60941499,41.52959244,20.04825726,21.91122251,39.56550724,57.76337324,35.65304164,2.27240226,48.26652965,5.08192597,47.49993763,2.84788106,3.7745227,3.62802761,49.35806495,50.66969697,11.5953957,3.41001013,4.16768575,4.57152972,53.13847808,52.38121274,2.7808993,2.7808993,2.88712129,53.3491376,2.38447825,2.69039094,18.51920359,51.39429788,56.96239493,25.20964758,16.53541086,16.63433753,3.56336021,54.05491313,52.66460236,3.45188623,6.9541788,4.52756043,53.98374259,4.72082021,10.31095187,4.42282042,49.06763979,52.76252581,49.62563592,46.15530142,21.83593451,10.20494301,9.03981142,53.01905884,50.8670936,3.02499492,56.95686367,5.89913747,4.19036605,4.59974725,3.25910034,4.35613991,2.95458478,3.08173554,17.18779943,3.35473309,26.76095264,53.59040137,5.53970794,5.64257321,2.71088442,6.05844658,16.29261548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_98,3.17888713,52.86695009,48.43913203,4.05912361,48.62753619,50.03912429,3.19433338,3.9820667,3.47735655,48.3694529,48.43327505,2.06568011,10.07598982,46.80063568,47.86366876,3.56888134,2.07055272,5.60769252,2.97782543,3.56690985,45.16642607,49.14824284,3.78491695,3.89890066,7.73787623,1.71294921,2.85184303,3.66982182,2.7466134,1.78793496,1.68626995,1.21276321,1.58121559,3.34228033,3.70790958,2.15232854,3.54984551,45.1672469,2.05911894,2.43586005,2.60730813,2.00412313,49.13454369,47.69606002,3.86652729,44.13576398,3.59395126,4.08800085,5.53744173,6.12730253,2.22091407,2.41497391,2.37412,2.00477421,3.79867518,2.85059197,50.12899998,4.84196111,10.06710438,7.86625805,50.70820775,50.57120259,3.68130311,50.93769182,2.68689444,3.67211969,6.90071322,1.40076028,44.25382538,2.68361512,3.3980305,4.0369239,5.59926572,3.74624146,52.61770607,4.78396986,2.34315414,50.23551446,4.58926273,5.03188174,7.7431175,4.03731047,53.16435911,52.27089915,2.76114755,2.46140772,3.12605421,3.83526432,3.06960769,3.01125466,3.04457363,4.54737014,8.18963547,4.16314581,3.39851351,3.580927,25.97762284,6.12584136,4.49568769,5.54378666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_97,4.98930553,53.97471593,51.04034082,8.07455606,9.15705758,6.28240319,2.57207771,44.53424863,2.24573345,50.82630899,51.0851722,5.07876886,11.74048175,48.292538,50.02660324,2.91434412,43.94226636,3.23307904,3.2508728,41.46784935,12.66938272,49.85375325,48.45999454,4.15271439,4.55380672,6.76863636,3.47099056,3.61695546,4.63324209,5.60515323,5.76107593,4.90714461,5.80199069,48.70048335,10.78480019,6.03392364,49.2382347,10.38984595,9.37284741,2.3137758,3.17626547,2.33990378,44.88487341,44.95513948,4.77836695,6.3162088,2.41270166,2.703478,3.61682696,4.35676585,7.20740888,8.3579684,7.62032791,4.33943216,3.78999999,3.7145689,51.06658079,49.99517738,54.06154442,48.11881024,52.02143954,51.94772776,4.22876995,52.53863344,7.3071124,5.34329789,36.20463301,4.92250485,49.13915024,6.46569575,44.8652806,5.02851631,10.21699408,6.83667677,49.50397432,5.17215948,6.65308254,48.40020517,48.56808907,48.83342754,6.48626352,4.40007377,8.91479014,54.61616075,47.87174598,47.89750672,52.85332699,52.80159957,53.25467589,53.0297298,9.09180265,4.62837588,53.39924201,4.17767238,50.53374253,50.51608981,52.98377096,47.85044876,3.55098349,51.56154049,52.21398933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_96,3.75317267,55.07530246,48.18483098,2.16861224,45.99447393,38.01528243,11.63297687,39.98022183,6.93719488,49.43046436,47.46999781,35.73131312,4.43760589,46.89016044,45.06935451,15.39487523,1.38607638,2.61423487,3.37119401,4.73822984,7.61145387,48.70430376,39.90718465,3.42584406,3.58657662,10.77563876,5.7696716,6.28994041,51.57074173,5.03495444,6.44521815,4.80526366,4.71297319,3.21279542,45.05420934,3.25154022,46.10589438,40.51907866,8.76383743,4.01341098,4.2036099,3.52185352,48.28769101,49.48132137,4.35207516,5.99501218,5.43890294,6.18295926,27.32994266,12.31544976,3.93615417,3.94059287,4.12875032,5.42304446,3.95179245,2.69612035,50.22732269,9.42219748,7.00576641,8.80464941,51.05147806,50.9253698,8.92445475,50.76328818,5.88152941,4.80855662,8.10666111,1.67832104,43.09608912,4.41205358,6.2792502,4.32873966,13.84767051,8.59798495,50.48093623,5.09106971,2.87242586,12.94016026,6.13434317,42.2779453,41.93255135,3.7225407,53.80410742,53.45663308,2.04834888,1.80765164,2.31507873,2.5971057,2.24410886,1.96223968,4.41434641,2.13752141,6.73798468,4.68879335,3.80618029,3.99339799,1.29652227,18.95377173,5.16718099,3.42408358,0.96577753,8.55352684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_95,45.20775819,50.41802955,40.3363673,5.5357145,52.15661122,51.44704373,47.66018008,2.98272934,48.7594334,52.21996185,51.33460708,49.88905885,48.54003671,6.3325255,48.20488113,49.53612512,49.35748167,48.22158307,51.79600107,50.5385832,49.32157859,49.86683238,48.69943093,49.84091042,48.832542,49.97553731,49.18801535,50.91464815,49.90283782,50.50031619,49.42510154,48.62986587,50.21991095,46.60097961,51.14624885,46.94916103,48.82481462,51.95160694,48.54602959,48.7540235,49.21156378,48.7540235,51.26752382,51.62103452,51.50334323,6.29693327,50.8068843,51.58815419,47.4662944,45.70771281,49.56597886,49.46557993,49.56597886,50.24228048,48.94227798,49.38198302,5.84651285,7.8433418,51.09447504,40.17699436,6.72613627,6.99139807,5.28038768,52.32385683,48.63286189,49.20231008,45.46607447,7.26220639,39.77319826,50.78396112,48.72157666,50.75586146,46.43585271,11.80012085,8.73316787,8.80808756,48.15199188,9.26862749,49.74666729,6.02451061,37.46970964,50.11660432,6.33932864,12.29473004,50.49663397,52.1763373,49.32653083,50.23970052,49.04395272,49.07770436,50.35177915,49.87513029,49.71649915,47.72448122,48.32850854,48.32850854,49.259266,5.04319827,49.71112587,47.96480607,48.65844297,49.93462732,47.93432751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_94,5.62614365,55.54122226,50.55142918,45.79294171,7.29891861,6.8683641,7.72879131,35.09343399,4.11429151,7.50031642,6.93653782,46.39034318,36.05179264,42.86666924,3.28256738,4.87998358,5.48231865,6.63393587,46.85026729,1.95194956,4.86999925,42.75850826,6.15296316,48.75470671,9.49105747,4.12308927,5.5886759,9.34400604,4.56170624,4.57163577,3.98990557,5.22078873,4.97248507,5.26733526,3.01146397,2.9456388,6.59372597,5.92532173,2.69396426,5.13922677,8.02495742,3.20677849,6.41921217,7.65839082,49.52162096,5.12158726,4.86653383,5.3615002,39.99100635,43.0603364,2.09126715,2.09126715,1.87729141,4.80314556,5.66724626,8.24306599,5.84229023,2.00278126,16.08159584,43.43218848,5.6991732,5.61613725,2.43846567,18.66391108,10.33719653,2.60941339,5.13838654,8.12428278,7.24497377,5.6531598,4.00414163,3.57175246,10.20450474,46.02089439,2.15674384,5.62492865,6.1389888,6.30987989,5.79528393,50.51606897,3.5277839,3.17421479,6.92018893,7.78213553,44.51137803,44.65834466,4.05779421,4.3637302,3.93514191,3.89774041,4.79393616,6.36729782,10.56810399,4.76145434,13.9213979,14.04517392,51.78041424,3.44767529,5.80991454,50.0686343,6.41223076,8.60386622,51.96680668,8.87100651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_93,5.62614365,55.54122226,50.44764253,45.79294171,7.29891861,6.8683641,7.72879131,35.09343399,3.89306675,7.50031642,6.93653782,46.31577815,36.05179264,42.66938462,3.28256738,7.03880291,5.46712389,6.63393587,46.85629695,2.37991181,4.18918793,42.85222412,6.01581668,48.75470671,9.30995695,4.14511314,5.61164693,9.25499353,4.22249961,4.63569688,4.00895879,5.24185433,5.04314765,4.86337459,3.02562743,2.49717368,6.7228008,6.55787063,2.70703597,4.80021712,7.35218054,2.99981824,6.41921217,7.65839082,49.82752644,5.13786438,6.03256796,6.64922203,40.18708147,43.44582586,2.37434168,2.37434168,2.14561014,4.70816103,5.0802783,7.65799382,6.52123457,2.24744004,16.33296999,43.11525645,6.36091703,6.28752281,2.7593145,18.62251701,10.45052161,3.02854929,5.01241909,7.22387491,7.2443984,7.3186178,3.65879451,5.15558949,10.16527383,45.97359382,2.38026867,4.98389782,6.01100529,6.30987989,5.57771732,50.14992623,3.2568158,3.62140722,6.74691751,8.14784876,44.60581727,44.71587341,5.1856855,5.38528989,4.99063841,4.91079926,4.83690026,7.37984675,10.55689224,4.84726081,14.07991128,14.20235339,51.78205112,3.26025184,5.81511406,49.8132568,6.11766385,8.57290422,51.92900614,8.61785362,0.04123283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_92,15.20484441,55.39236997,51.20056997,1.92059255,48.7105851,46.40410924,4.28839623,46.62685797,3.97203416,49.95420905,48.426072,42.2449524,4.42973986,48.25012638,47.95720098,45.51515154,1.95593911,7.94372112,10.79219948,4.73525776,3.42058551,4.94613302,45.90820975,2.06574005,2.76879053,46.01648154,44.26465439,44.82850359,53.00867138,47.24066298,39.37017435,40.03636103,49.99633514,7.98729118,46.73929818,6.31861946,13.58329459,44.36363995,35.3324575,4.88911824,5.54350988,4.49835662,49.55779542,50.75574117,11.18840588,52.96958896,7.29956343,9.34343148,53.54611103,52.98719282,53.19509414,53.23155222,53.24823642,5.50568593,4.7709642,2.51076663,8.87045246,8.61775797,4.01662886,4.48304972,9.00048458,8.92425565,53.05782687,5.41952413,9.43208279,5.58893319,52.59716745,4.08672598,52.68143474,52.72909185,3.23730084,54.24659781,50.87865195,52.16818699,46.32250367,2.75663857,11.89935033,5.96180087,11.95085829,54.04896237,46.84125754,53.23588567,54.28127674,25.06776732,3.46737765,3.15503932,2.47018337,2.59115332,2.48946207,2.35631866,51.63914361,4.53262531,54.65305496,48.86045003,4.35303248,4.52450047,54.12626822,8.80402858,10.98358129,55.7876981,6.2664834,52.19715953,2.02737133,48.63102904,11.01495471,10.84261748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_91,4.04992494,55.11877312,49.92924364,4.27206543,47.99116046,45.40738514,14.33035645,7.34146912,2.33122196,50.4621266,49.01030657,6.23307557,3.40379694,48.29288021,47.43416046,8.10685201,2.24476276,2.2135752,3.70790743,5.10962393,2.50057804,49.39051022,44.19348678,2.27594575,3.91309537,5.56360043,3.46757521,3.66049659,44.71861358,3.3154841,4.00042948,4.10248499,3.45669207,55.26531178,43.69815534,3.6673275,47.68145544,44.24031203,4.37116771,4.89906463,5.55262859,3.03817206,49.62032574,50.97115134,3.13798818,2.82578336,2.49957887,2.68150488,11.2935508,7.87742274,3.27872113,3.27872113,3.42241385,25.68717407,3.30654403,2.78553904,53.67121114,48.72088109,52.2409227,5.25484395,53.95667808,53.8818124,4.12113551,4.57077434,39.07821008,3.31978801,3.30641287,2.98129281,52.20096506,4.31580569,21.96196128,6.50845894,8.82510551,17.75567518,44.498292,2.32812782,2.29862107,4.48721806,50.13146796,44.07168684,46.44187575,3.92479761,49.18741347,51.80791209,2.5631235,2.0807378,3.20352075,3.44417699,2.97741888,2.72570507,53.51467187,4.3651726,52.22024783,4.90999643,4.31622953,4.63916859,2.01508524,16.732876,8.17388944,4.11976632,5.78679816,?,1.37836521,48.43420787,2.68822511,2.58277221,7.84676968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_90,5.5311157,53.26055097,51.82811026,49.31642095,7.24793381,6.72028398,48.38222613,14.27116691,48.9412424,4.60087233,4.24794934,50.57433277,49.34839558,5.95288568,6.56843198,48.88812695,53.98464827,47.74469395,54.76115928,19.11837645,54.67308624,55.73391855,51.13754989,51.27683637,54.74256537,54.58276224,54.43709755,51.93720442,54.14554486,54.70846837,53.98873037,53.86190624,54.45540467,55.08053531,11.05594212,52.04224329,54.84823971,8.32651113,52.29054047,53.61383994,35.55464907,53.38490749,8.15002889,8.79927882,54.90050557,8.38388431,50.10843472,49.96022618,52.24810226,52.18082536,52.58898564,52.19996705,52.41723053,53.53769132,53.38090479,53.17187016,8.24135522,5.84212994,12.34743426,53.31942186,8.98553066,9.16366658,45.12858608,56.35322007,53.93091893,53.03707407,50.98888325,52.98320365,8.16270652,54.87965815,54.71702497,53.95153324,3.6712866,53.36580213,7.21243929,48.12355499,50.99267469,52.35014048,8.45160582,9.39436484,7.48483879,53.15340728,5.09907038,6.4786472,53.13274939,53.05717231,55.47200975,55.05446163,55.44399741,55.43307818,54.73910398,50.64064338,7.69701287,47.01579278,55.52024538,55.55895491,55.2681674,9.06950806,31.65254551,55.88542049,54.47640649,8.94362787,54.94204466,2.78004222,6.96110941,6.79721275,56.51957358,53.73250607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_89,4.04992494,55.11877312,8.48336574,3.2929687,45.60319376,18.5029254,10.34947805,39.61032852,4.68882564,49.53819151,47.35382819,4.64065164,3.56033041,48.25295597,45.06379202,35.99839493,1.55682018,2.27651465,2.78611303,4.70570615,8.31279887,49.40239697,37.80447163,1.77525043,3.57383687,5.08670972,3.54774689,3.72128712,50.31353255,2.7538104,3.92858289,3.97959801,2.85387958,3.1126096,4.04529801,4.37785512,7.85200311,42.86678154,4.80072797,7.23933378,13.55317111,6.48672286,49.26820677,50.2401188,4.27749481,3.94871648,3.2849437,3.57370873,28.55319275,15.08424831,3.68402682,3.36407296,3.51053258,5.31237808,4.7785987,4.14346109,51.8865233,45.47690466,10.51492806,6.22897612,52.43728613,52.44857746,7.96675864,54.84752811,2.66670287,3.28156509,6.58955744,3.0006833,41.36994646,5.76439767,5.27355751,3.38641145,33.37330736,5.5709499,50.50122994,3.12881707,3.40245515,50.13017364,6.7596242,43.64439701,16.59518888,4.14190094,51.67014026,53.57353972,2.00238674,2.04766579,2.68867052,3.20049499,2.72814656,2.44107462,3.16668991,2.86592196,7.26305507,4.26340612,6.09064288,6.42082966,1.61040849,27.65900546,4.46560573,4.39854703,1.91860268,7.21290699,0.64249808,47.44521548,52.13611908,52.138894,4.11014576,1.16884878,54.61345555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_88,13.19379163,53.41039996,6.44110742,50.4303246,7.65094895,8.09481658,48.79238716,44.94720245,4.60307448,5.2526925,4.9594049,48.55079511,47.23723255,48.64722968,2.83279968,36.67340607,47.90021921,43.62075602,46.87267207,3.70687838,37.6104941,6.22509577,3.56413403,49.05525277,39.88775265,49.04192472,49.67993516,49.28862,52.74353722,49.41946515,52.44740953,48.5190206,49.18745548,9.4987121,3.66190882,48.14352136,49.66002136,7.89529543,46.54969282,51.81275142,52.07713397,46.80742517,3.82839054,4.16490815,49.93288342,3.44838617,47.62667021,44.70327385,12.14225075,41.62072579,2.91517649,3.02171879,3.06928989,5.1557536,51.01838345,50.85228657,5.8509751,3.71984663,51.74963379,48.72140163,6.53366526,6.47352498,46.07911154,54.69053419,47.96897063,47.52612779,?,48.7301967,9.3836014,44.03823154,47.27399782,45.66088443,6.45056116,45.29662824,3.08841087,38.33211325,48.66559056,44.87983946,43.80949103,48.70633221,9.03704179,47.15143121,6.46056907,5.47420247,3.03212557,2.65179687,49.94671133,46.9590555,49.93441718,49.8341151,59.97131697,46.655026,8.31514046,46.92146934,50.92388118,51.03927592,48.39551161,2.44726066,26.23008555,51.33098479,51.05138043,46.5897717,51.02871882,10.26750855,2.41255795,2.36716159,50.33633314,4.08375973,5.60289842,51.06587154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_87,53.73705266,56.6750537,4.03814964,21.81769279,8.54040213,9.89345451,46.43934787,51.61107175,55.63735551,8.88072731,6.73002479,38.3121098,57.37303558,11.24514042,7.83603947,44.11311315,4.40603052,56.18419929,3.47116245,42.97213886,55.7792119,55.047138,6.98993195,52.8002545,15.17604075,49.81600515,50.76222961,53.44344398,7.11429797,49.09177362,49.28043375,48.35968223,48.88259805,4.49572148,11.36124971,7.84760805,52.69860226,9.86885588,50.51871251,9.79499401,12.15600937,26.12304672,8.66780804,8.98301181,51.11159848,54.2541681,51.24289929,16.87887463,16.14111044,51.83047219,13.41901823,49.63456124,13.83829362,50.44024549,17.80890928,19.44238259,5.6730155,12.09209044,49.12555418,8.59686819,6.15625641,6.21040627,51.07401692,54.31697697,48.99930472,52.67505337,54.17620879,49.57998123,9.21215536,51.65985514,52.28086374,52.88974852,51.07463011,49.35259765,8.93221331,49.75972287,51.13552858,50.37566401,51.9043728,49.03621927,7.76678512,49.47949796,6.53729922,5.36763019,53.0158574,53.1511686,50.91740461,50.38873081,50.48722029,50.74894297,6.79945268,53.3008995,12.70950131,48.93819461,46.57434543,46.98043859,55.76983294,53.1673631,11.62648965,30.16268817,52.26189286,9.74466963,54.99809103,12.33481874,8.69038671,8.44508195,53.91025512,54.68171132,6.30936094,54.82482748,6.89230111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_86,38.65925979,5.01886817,7.94988811,46.38930865,7.22349949,6.68357767,44.63445954,5.70822083,7.20789187,7.03581308,48.38376218,46.05281031,2.20820257,4.41351716,6.11261832,50.96239206,16.60211897,9.828805,3.52050049,4.11525101,4.12257332,47.42304783,7.35817181,3.68307715,46.01754644,4.24718492,3.6670508,2.8846456,44.77556862,4.53569611,5.20924301,5.40637985,4.60535747,51.77351844,5.7393887,6.75095378,4.30994923,5.11512852,4.21131515,43.12099445,39.58177038,4.83501856,50.7155635,49.88438062,23.47546754,9.44844565,2.5424533,2.66834731,5.94348154,5.0750346,3.91372938,3.62264554,3.73733723,9.0941908,41.47765859,39.40073305,14.05169244,9.91108016,6.62848858,48.42890002,16.76948133,16.50311805,7.03892519,3.75584328,8.47815785,4.73239214,5.58317261,12.69752558,53.33374265,4.50810475,4.16766385,2.55958673,7.29941485,43.29633001,4.17294285,9.06832758,3.69690475,30.65915879,8.6692956,9.06108313,48.42550525,4.70289771,49.11341753,47.55186784,9.28769473,12.25636539,6.52610748,5.6280888,7.10567106,5.9630823,36.37432995,15.68040709,27.39704717,3.56679564,5.64837528,5.79355672,3.17549262,6.39949226,46.96071803,5.4951642,24.5570128,46.70491029,15.03215205,46.20204486,3.06496289,3.37887673,31.24534321,3.84535294,51.11018283,6.78295086,25.71632316,52.46178844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
